palabra,clase
salud,0
vida,0
pacientes,0
personas,0
tratamiento,0
gripe,0
cuerpo,0
ms,0
piel,0
hospital,0
importante,0
tabaco,0
ejercicio,0
riesgo,0
tipo,0
dosis,0
asegura,0
forma,0
correr,0
doctora,0
alimentos,0
enfermedades,0
explica,0
vacunación,0
diabetes,0
evitar,0
arginina,0
queratitis,0
debe,0
fructosa,0
consumo,0
enfermedad,0
tratamientos,0
agua,0
casos,0
uso,0
bata,0
paciente,0
dolor,0
zapatos,0
especialista,0
problemas,0
ictus,0
ácido,0
mayor,0
dr,0
sueño,0
estética,0
células,0
comer,0
familia,0
medicamentos,0
atención,0
niños,0
tener,0
doctor,0
servicio,0
aunque,0
peso,0
efectos,0
cáncer,0
beneficios,0
síntomas,0
lesiones,0
persona,0
metabolismo,0
profesionales,0
protector,0
calidad,0
pandemia,0
lactancia,0
política,1
pp,1
gobierno,1
tribunal,1
podemos,1
presidente,1
efe,1
país,1
casado,1
si,1
generalitat,1
psoe,1
así,1
jóvenes,1
congreso,1
político,1
cuentas,1
políticos,1
fiscalía,1
ley,1
portavoz,1
vivienda,1
ayuntamiento,1
caso,1
redondo,1
nadal,1
europeo,1
ue,1
precios,1
líder,1
rey,1
presupuestos,1
monarquía,1
delito,1
serra,1
social,1
cup,1
nacional,1
díaz,1
prisión,1
cambio,1
popular,1
alcaldesa,1
vox,1
audiencia,1
supremo,1
ciudadanos,1
constitucional,1
comunidad,1
consejo,1
haití,1
acuerdo,1
sentencia,1
andalucía,1
pedro,1
montero,1
pablo,1
medio,1
euros,1
pensiones,1
diputados,1
aprobación,1
aragonès,1
europa,1
agentes,1
fondos,1
hecho,1
presidenta,1
petición,1
instituciones,1
presupuesto,1
mundial,2
equipo,2
real,2
laliga,2
jugador,2
selección,2
bale,2
campeón,2
hazard,2
repesca,2
temporada,2
gran,2
club,2
español,2
jugadores,2
márquez,2
carrera,2
qatar,2
estadio,2
primera,2
puntos,2
española,2
mclaren,2
minutos,2
mejor,2
primer,2
final,2
título,2
garbiñe,2
cartuja,2
historia,2
último,2
sevilla,2
odegaard,2
rossi,2
mercedes,2
gales,2
valentino,2
tenista,2
ancelotti,2
pilotos,2
ciudad,2
juego,2
jugar,2
martínez,2
hamilton,2
deportiva,2
pista,2
vez,2
fútbol,2
wta,2
balón,2
noche,2
piloto,2
domingo,2
horner,2
fin,2
mientras,2
segundo,2
hoy,2
italia,2
smartbank,2
deporte,2
remy,2
clasificación,2
wolff,2
marc,2
galahad,2
británico,2
grupo,2
