palabra,clase
salud,0
vida,0
pacientes,0
personas,0
tratamiento,0
gripe,0
cuerpo,0
ms,0
mundo,0
piel,0
hospital,0
importante,0
tabaco,0
ejercicio,0
riesgo,0
tipo,0
dosis,0
asegura,0
forma,0
correr,0
doctora,0
alimentos,0
enfermedades,0
explica,0
años,0
vacunación,0
bien,0
diabetes,0
evitar,0
arginina,0
queratitis,0
debe,0
además,0
fructosa,0
consumo,0
enfermedad,0
tratamientos,0
año,0
agua,0
tiempo,0
casos,0
uso,0
bata,0
paciente,0
dolor,0
zapatos,0
especialista,0
problemas,0
ictus,0
ácido,0
mayor,0
dr,0
sueño,0
estética,0
células,0
comer,0
familia,0
medicamentos,0
atención,0
niños,0
tener,0
doctor,0
servicio,0
aunque,0
peso,0
efectos,0
cáncer,0
beneficios,0
síntomas,0
lesiones,0
persona,0
metabolismo,0
profesionales,0
protector,0
calidad,0
menos,0
pandemia,0
lactancia,0
